rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
64,89,4042,2192,87.0,62.0,47,94,558443,3.6050456,5.175041
37,54,8465,14369,72.0,31.0,40,56,1246307,6.235652,9.497937
22,40,433,1470,44.0,19.0,28,42,77648,4.746396,5.6803756
67,73,15462,7495,7.0,75.0,11,81,1679720,6.042644,7.3581853
27,35,1338,3456,95.0,16.0,51,32,170117,2.9957433,8.579182
59,63,13691,9338,6.0,65.0,10,69,1463040,6.37744,7.602899
60,63,3797,2480,83.0,57.0,46,65,396712,4.479461,7.0700445
74,80,19591,6834,10.0,79.0,12,85,2120741,5.9702506,6.0318713
19,179,352,1449,89.0,12.0,48,193,322844,4.8356433,8.197601
62,70,2742,1651,7.0,71.0,11,80,309324,7.985553,6.4274445
83,104,4420,882,29.0,85.0,16,108,553770,6.285715,7.6900744
68,65,15083,6847,64.0,70.0,37,74,1433929,3.7133777,5.403952
77,94,27003,7711,66.0,78.0,36,96,3280015,4.357741,7.1400924
58,68,2860,2053,41.0,59.0,26,70,336768,2.3957682,8.890544
66,75,2241,1137,10.0,77.0,11,88,256106,7.3389416,5.769793
51,124,6694,6349,25.0,57.0,19,149,1627844,4.4991665,8.3479
70,89,3681,1537,25.0,74.0,19,95,465373,3.5274003,6.6838527
61,74,10094,6238,66.0,61.0,37,75,1212599,4.806748,7.9043994
55,71,4598,3659,69.0,54.0,39,73,593495,4.7188125,7.8257446
32,82,855,1741,60.0,27.0,33,91,215052,5.1283693,9.231977
63,118,14765,8479,70.0,63.0,39,123,2751086,4.391602,8.415671
70,104,10910,4616,72.0,70.0,41,108,1619158,5.1902304,6.348014
10,20,230,1893,24.0,7.0,18,21,44352,7.229204,7.848185
67,89,8647,4114,53.0,68.0,32,91,1136510,5.402329,7.332783
38,58,710,1113,67.0,31.0,37,63,105932,3.4168434,7.314087
78,83,9849,2713,30.0,81.0,22,87,1050280,6.271476,6.426256
7,735,102,1228,91.0,5.0,49,754,978237,7.234495,8.836037
20,116,1192,4549,45.0,17.0,28,128,668145,5.5687294,8.161069
64,68,6672,3691,88.0,61.0,47,70,704946,3.8086474,7.6279235
67,88,18550,8820,68.0,67.0,39,90,2429215,4.721286,7.678746
38,52,2039,3192,79.0,31.0,44,54,275158,4.498412,9.417103
51,156,10919,10124,31.0,54.0,21,177,3301413,4.7803097,8.915059
80,123,12366,2987,58.0,81.0,34,126,1901673,6.0830135,7.788302
47,89,1643,1838,74.0,42.0,40,97,313216,2.7588794,5.2935314
79,86,6094,1549,24.0,82.0,19,90,660964,5.9588284,5.3776717
57,69,9682,7197,78.0,56.0,43,70,1166716,4.5080523,7.732941
62,68,7759,4691,9.0,72.0,12,79,851572,5.630067,6.159942
63,93,14633,8409,9.0,70.0,12,103,2152260,5.138788,8.864035
64,78,8870,4953,47.0,64.0,29,80,1086657,5.307192,7.1708584
41,45,3247,4574,39.0,42.0,25,51,352393,3.4305925,8.410985
38,46,1102,1725,88.0,30.0,46,46,132078,4.0699296,7.7618546
62,114,7377,4462,49.0,65.0,30,134,1354644,5.197191,7.5536437
